Part number;Size;Colour;Barcode;File name;Short description;Long description;RRP;VAT;Trade;Box Qty;Brand;Search 1;Search 2;Cat A;Cat B;Cat C;Year;Item group;Retail group;Product group;Net price 440056;Net price 450141;Net price 411578
"850004888";XXL;Dark Grey;"4713250027197";;CADEX SILVER SS JERSEY DARK GREY XXL;;109.99;20,00;40.62;1;CADEX;Short Sleeve Jersey;;Gear;Rider Gear;Men's;2022;106B;Cadex;cadexracejersey;40,62;40,62;40,62
"860002089";S;Black;"4713250026916";;CADEX SILVER BIB SHORT BLACK S;;149.99;20,00;53.12;1;CADEX;Bib short;;Gear;Rider Gear;Men's;2022;108A;Cadex;cadexracebibshort;53,12;53,12;53,12
"860002090";M;Black;"4713250026923";;CADEX SILVER BIB SHORT BLACK M;;149.99;20,00;53.12;1;CADEX;Bib short;;Gear;Rider Gear;Men's;2022;108A;Cadex;cadexracebibshort;53,12;53,12;53,12
"860002091";L;Black;"4713250026930";;CADEX SILVER BIB SHORT BLACK L;;149.99;20,00;53.12;1;CADEX;Bib short;;Gear;Rider Gear;Men's;2022;108A;Cadex;cadexracebibshort;53,12;53,12;53,12
"860002092";XL;Black;"4713250026947";;CADEX SILVER BIB SHORT BLACK XL;;149.99;20,00;53.12;1;CADEX;Bib short;;Gear;Rider Gear;Men's;2022;108A;Cadex;cadexracebibshort;53,12;53,12;53,12
"860002093";XXL;Black;"4713250026954";;CADEX SILVER BIB SHORT BLACK XXL;;149.99;20,00;53.12;1;CADEX;Bib short;;Gear;Rider Gear;Men's;2022;108A;Cadex;cadexracebibshort;53,12;53,12;53,12
"860002095";S;Black;"4713250026978";;CADEX PIONEER UT BIB SHORT BLACK S;;149.99;20,00;53.12;1;CADEX;Bib short;;Gear;Rider Gear;Men's;0;108A;Cadex;22cadexpioneerbib;53,12;53,12;53,12
"860002096";M;Black;"4713250026985";;CADEX PIONEER UT BIB SHORT BLACK M;;149.99;20,00;53.12;1;CADEX;Bib short;;Gear;Rider Gear;Men's;0;108A;Cadex;22cadexpioneerbib;53,12;53,12;53,12
"860002097";L;Black;"4713250026992";;CADEX PIONEER UT BIB SHORT BLACK L;;149.99;20,00;53.12;1;CADEX;Bib short;;Gear;Rider Gear;Men's;0;108A;Cadex;22cadexpioneerbib;53,12;53,12;53,12
"860002098";XL;Black;"4713250027005";;CADEX PIONEER UT BIB SHORT BLACK XL;;149.99;20,00;53.12;1;CADEX;Bib short;;Gear;Rider Gear;Men's;0;108A;Cadex;22cadexpioneerbib;53,12;53,12;53,12
"860002099";XXL;Black;"4713250027012";;CADEX PIONEER UT BIB SHORT BLACK XXL;;149.99;20,00;53.12;1;CADEX;Bib short;;Gear;Rider Gear;Men's;0;108A;Cadex;22cadexpioneerbib;53,12;53,12;53,12
"610000009";OSO;Black;"4718905965640";;CONTROL BLAST 1 BLACK;;24.99;20,00;20.83;1;Giant;CO2 pump;;Gear;Service Gear;Men's;2022;253D;DG;13ControlBlast1;13,54;10,42;10,42
"610000043";16g;Blue / White;"4718905966166";;CONTROL BLAST 3x16G CO2 CARTRIDGES;;11.99;20,00;9.99;1;Giant;CO2 pump;;Gear;Service Gear;Men's;2022;253D;DG;CO2cart3;6,49;5,00;5,00
"610000044";16g;Blue / White;"4718905966173";;CONTROL BLAST 10x16G CO2 CARTRIDGES;;24.99;20,00;20.83;1;Giant;CO2 pump;;Gear;Service Gear;Men's;2022;253D;DG;CO2cart10;13,54;10,42;10,42
"610000053";16g;Blue / White;"4718905867807";;50PCS 16G CO2 THREADED CARTRIDGE;;109.99;20,00;91.66;1;Giant;CO2 pump;;Gear;Service Gear;Men's;2022;253D;DG;16gco250;59,58;45,83;45,83
"610000054";25g;Blue / White;"4718905867128";;2PCS 25G CO2 THREADED CARTRIDGE;;16.99;20,00;14.16;1;Giant;CO2 pump;;Gear;Service Gear;Men's;2022;253D;DG;25gco22;9,20;7,08;7,08
"610000055";25g;Blue / White;"4718905867814";;6PCS 25G CO2 THREADED CARTRIDGE;;39.99;20,00;33.33;1;Giant;CO2 pump;;Gear;Service Gear;Men's;2022;253D;DG;25gco26;21,66;16,67;16,67
"610000057";OSO;Black;"4718905869771";;CONTROL MINI PRO CO2;;32.99;20,00;27.49;1;Giant;Mini pump;;Gear;Service Gear;Men's;2022;253B;DG;controlminico2;17,87;13,75;13,75
